Session,GlobalIndex,LocalIndex,TargetChar,AngleX,AngleY,UserInput,IsCorrect,FontSize,SpawnZone,,,,,,
18,159,6,D,46.91,-3.15,D,TRUE,75.3,Middle-Right,,,,,,
18,160,7,T,-37.02,-37.1,NotVisible,FALSE,17.3,Bottom-Left,,,,,,
18,161,8,L,-15.28,-47.49,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
18,162,9,Z,53.81,-48.67,NotVisible,FALSE,122.9,Bottom-Right,,,,,,
19,163,1,T,-37.24,18.26,T,TRUE,46.1,Top-Left,,,,,,
19,164,2,C,-13.15,15.79,L,FALSE,6.5,Top-Center,,,,,,
19,165,3,O,42.47,19.91,NotVisible,FALSE,10.6,Top-Right,,,,,,
19,166,4,D,-41.13,-24.11,NotVisible,FALSE,75.3,Middle-Left,,,,,,
19,167,5,L,1.68,-12.52,L,TRUE,122.9,Middle-Center,,,,,,
19,168,6,Z,45.42,1.8,NotVisible,FALSE,17.3,Middle-Right,,,,,,
19,169,7,F,-44.75,-34.59,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
19,170,8,E,21.25,-36.82,E,TRUE,201,Bottom-Center,,,,,,
19,171,9,P,43.36,-47.02,NotVisible,FALSE,10.6,Bottom-Right,,,,,,
20,172,1,T,-51.34,36.41,NotVisible,FALSE,17.3,Top-Left,,,,,,
20,173,2,O,-23.06,40.38,NotVisible,FALSE,28.3,Top-Center,,,,,,
20,174,3,Z,53.59,27.64,NotVisible,FALSE,75.3,Top-Right,,,,,,
20,175,4,C,-48.66,-15.39,NotVisible,FALSE,28.3,Middle-Left,,,,,,
20,176,5,F,-18.24,-1.78,F,TRUE,46.1,Middle-Center,,,,,,
20,177,6,E,40.03,-21.12,E,TRUE,46.1,Middle-Right,,,,,,
20,178,7,L,-30.8,-32.88,NotVisible,FALSE,6.5,Bottom-Left,,,,,,
20,179,8,P,-11.69,-46.57,NotVisible,FALSE,6.5,Bottom-Center,,,,,,
20,180,9,D,28.87,-52.01,NotVisible,FALSE,46.1,Bottom-Right,,,,,,
21,181,1,F,-42.02,15.89,NotVisible,FALSE,17.3,Top-Left,,,,,,
21,182,2,D,21.28,31.67,NotVisible,FALSE,10.6,Top-Center,,,,,,
21,183,3,O,32.59,30.83,C,FALSE,201,Top-Right,,,,,,
21,184,4,L,-52.83,0.59,NotVisible,FALSE,6.5,Middle-Left,,,,,,
21,185,5,P,16.71,5.33,P,TRUE,10.6,Middle-Center,,,,,,
21,186,6,Z,35.85,-12.84,Z,TRUE,46.1,Middle-Right,,,,,,
21,187,7,C,-53.02,-47.74,NotVisible,FALSE,46.1,Bottom-Left,,,,,,
21,188,8,E,-9.55,-42.88,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
21,189,9,T,36.27,-36.29,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
22,190,1,C,-53.84,24.24,NotVisible,FALSE,75.3,Top-Left,,,,,,
22,191,2,E,-0.16,19.32,NotVisible,FALSE,17.3,Top-Center,,,,,,
22,192,3,D,26.83,38.08,NotVisible,FALSE,46.1,Top-Right,,,,,,
22,193,4,P,-45.84,-7.5,NotVisible,FALSE,46.1,Middle-Left,,,,,,
22,194,5,F,4.24,7.2,F,TRUE,46.1,Middle-Center,,,,,,
22,195,6,T,40.42,-16.98,NotVisible,FALSE,17.3,Middle-Right,,,,,,
22,196,7,O,-48.62,-31.83,NotVisible,FALSE,46.1,Bottom-Left,,,,,,
22,197,8,L,-17.97,-47.23,NotVisible,FALSE,201,Bottom-Center,,,,,,
22,198,9,Z,43.88,-49.47,NotVisible,FALSE,201,Bottom-Right,,,,,,
23,199,1,E,-50.91,33.7,NotVisible,FALSE,46.1,Top-Left,,,,,,
23,200,2,F,-21.55,31.41,F,TRUE,201,Top-Center,,,,,,
23,201,3,O,43.88,39.96,NotVisible,FALSE,28.3,Top-Right,,,,,,
23,202,4,L,-30.72,-13.17,NotVisible,FALSE,17.3,Middle-Left,,,,,,
23,203,5,Z,-13.74,-7.71,Z,TRUE,201,Middle-Center,,,,,,
23,204,6,C,47.63,-18.36,NotVisible,FALSE,10.6,Middle-Right,,,,,,
23,205,7,D,-45.03,-44.35,D,TRUE,201,Bottom-Left,,,,,,
23,206,8,P,21.57,-44.39,P,TRUE,122.9,Bottom-Center,,,,,,
23,207,9,T,44.86,-34.63,T,TRUE,201,Bottom-Right,,,,,,
24,208,1,C,-47.14,43.08,NotVisible,FALSE,17.3,Top-Left,,,,,,
24,209,2,P,21.18,33.8,P,TRUE,201,Top-Center,,,,,,
24,210,3,F,47.65,22.1,NotVisible,FALSE,201,Top-Right,,,,,,
24,211,4,O,-37.66,-15.18,NotVisible,FALSE,17.3,Middle-Left,,,,,,
24,212,5,L,23.11,-23.07,L,TRUE,122.9,Middle-Center,,,,,,
24,213,6,T,54.72,-28.38,NotVisible,FALSE,6.5,Middle-Right,,,,,,
24,214,7,E,-38.08,-50.34,NotVisible,FALSE,17.3,Bottom-Left,,,,,,
24,215,8,D,-17.19,-48.69,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
24,216,9,Z,41.8,-42.01,NotVisible,FALSE,10.6,Bottom-Right,,,,,,
25,217,1,P,-52.87,35.11,NotVisible,FALSE,17.3,Top-Left,,,,,,
25,218,2,L,10.79,29.26,NotVisible,FALSE,6.5,Top-Center,,,,,,
25,219,3,F,43.37,18.73,NotVisible,FALSE,46.1,Top-Right,,,,,,
25,220,4,Z,-43.63,4.84,NotVisible,FALSE,17.3,Middle-Left,,,,,,
25,221,5,O,-7.32,0.34,O,TRUE,201,Middle-Center,,,,,,
25,222,6,E,46.71,9.97,NotVisible,FALSE,10.6,Middle-Right,,,,,,
25,223,7,D,-40.32,-33.62,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
25,224,8,T,-13.31,-39.26,NotVisible,FALSE,28.3,Bottom-Center,,,,,,
25,225,9,C,46.87,-35.86,NotVisible,FALSE,75.3,Bottom-Right,,,,,,
26,226,1,P,-40.18,14.74,P,TRUE,46.1,Top-Left,,,,,,
26,227,2,O,-13.19,27.04,O,TRUE,46.1,Top-Center,,,,,,
26,228,3,L,39.72,34.9,NotVisible,FALSE,17.3,Top-Right,,,,,,
26,229,4,D,-29.86,-24.86,NotVisible,FALSE,6.5,Middle-Left,,,,,,
26,230,5,C,6.78,-25.51,NotVisible,FALSE,17.3,Middle-Center,,,,,,
26,231,6,F,49.64,-3.48,F,TRUE,122.9,Middle-Right,,,,,,
26,232,7,E,-32.6,-41.76,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
26,233,8,Z,9.56,-36.56,Z,TRUE,122.9,Bottom-Center,,,,,,
26,234,9,T,46.35,-48.78,NotVisible,FALSE,75.3,Bottom-Right,,,,,,
27,235,1,P,-41.21,37.15,NotVisible,FALSE,6.5,Top-Left,,,,,,
27,236,2,E,19.92,24.3,NotVisible,FALSE,28.3,Top-Center,,,,,,
27,237,3,L,53.79,15.76,NotVisible,FALSE,10.6,Top-Right,,,,,,
27,238,4,Z,-45.07,-10.87,NotVisible,FALSE,10.6,Middle-Left,,,,,,
27,239,5,T,-22.52,-10.5,T,TRUE,28.3,Middle-Center,,,,,,
27,240,6,F,49.76,0.04,NotVisible,FALSE,17.3,Middle-Right,,,,,,
27,241,7,O,-36.55,-45.2,NotVisible,FALSE,201,Bottom-Left,,,,,,
27,242,8,C,19.85,-32.83,C,TRUE,75.3,Bottom-Center,,,,,,
27,243,9,D,45.5,-39.02,D,TRUE,75.3,Bottom-Right,,,,,,
28,244,1,F,-53.86,30.87,NotVisible,FALSE,75.3,Top-Left,,,,,,
28,245,2,Z,-1.7,31.5,Z,TRUE,122.9,Top-Center,,,,,,
28,246,3,O,44.58,20.33,C,FALSE,201,Top-Right,,,,,,
28,247,4,L,-48.85,-6.65,L,TRUE,201,Middle-Left,,,,,,
28,248,5,E,-20.55,-8.76,E,TRUE,201,Middle-Center,,,,,,
28,249,6,D,46.55,5.5,NotVisible,FALSE,6.5,Middle-Right,,,,,,
28,250,7,C,-47.5,-49.07,NotVisible,FALSE,6.5,Bottom-Left,,,,,,
28,251,8,P,9.73,-49.68,NotVisible,FALSE,6.5,Bottom-Center,,,,,,
